number.of.states,birth.rate,iteration,receiver.entropy,sender.proportion,sender.converged,receiver.eu,sender.eu,sender.convexity,meta.step,receiver.proportion,receiver.converged,sender.entropy,impairment
10,0.05,19,0.2664629603086256,1.0,False,2.8673479583427541,2.8673479583427541,8.3141397238439294e-07,9,1.0,False,0.046904805481512934,0.0
10,0.05,20,0.25353290497456976,1.0,False,2.8856217469182766,2.8856217469182766,2.8362987789151193e-09,9,1.0,False,0.02630581872827481,0.0
10,0.05,21,0.24891427429792351,1.0,False,2.8952732362257736,2.8952732362257736,6.3039065816991217e-12,9,1.0,False,0.018645173058612043,0.0
10,0.05,22,0.24719802555797907,1.0,False,2.9038311094442864,2.9038311094442864,1.069052528226481e-14,9,1.0,False,0.013707858318579531,0.0
10,0.05,23,0.24686247553309418,1.0,False,2.9125941585458421,2.9125941585458421,1.4745300269815878e-17,9,1.0,False,0.010088779934508744,0.0
10,0.05,24,0.24723937815665867,1.0,False,2.9219473644578073,2.9219473644578073,1.6946791878393017e-20,9,1.0,False,0.0073529883052958975,0.0
10,0.05,25,0.24786622238425152,1.0,False,2.9320542631106301,2.9320542631106301,1.6483825835533331e-23,9,1.0,False,0.0053145633297466601,0.0
10,0.05,26,0.24831592875198683,1.0,False,2.9429975821272114,2.9429975821272114,1.3782192132466873e-26,9,1.0,False,0.00387054105260608,0.0
10,0.05,27,0.340207986540004,1.0,False,2.9548029300939072,2.9548029300939072,0.00043504705343864661,9,1.0,False,0.12529678484785051,0.0
10,0.05,28,0.28557284580009717,1.0,False,2.9445982828519988,2.9445982828519988,6.2468970804578737e-06,9,1.0,False,0.044146067037706183,0.0
10,0.05,29,0.26980683718582565,1.0,False,2.9705393068647883,2.9705393068647883,3.3027663602374261e-08,9,1.0,False,0.023216899177032964,0.0
10,0.05,30,0.2604766094614987,1.0,False,2.9876561359037104,2.9876561359037104,1.1297002831643895e-10,9,1.0,False,0.014910819339889293,0.0
10,0.05,31,0.25139473698472165,1.0,False,3.0034481125559807,3.0034481125559807,3.2349218077516714e-13,9,1.0,False,0.010511591104245937,0.0
10,0.05,32,0.24117530143859586,1.0,False,3.0188175093936369,3.0188175093936369,8.4984595501076877e-16,9,1.0,False,0.0082074490229282621,0.0
10,0.05,33,0.22950624737297542,1.0,False,3.0338044283713872,3.0338044283713872,2.1345956565063113e-18,9,1.0,False,0.0073326320997980036,0.0
10,0.05,34,0.21644639549434896,1.0,False,3.0482653839915534,3.0482653839915534,5.2744518680856876e-21,9,1.0,False,0.0075127041925908489,0.0
10,0.05,35,0.20222792376006846,1.0,False,3.0620211131129773,3.0620211131129773,1.3140756090419213e-23,9,1.0,False,0.0086050388802069184,0.0
10,0.05,36,0.28831954930180298,1.0,False,3.0749049442922165,3.0749049442922165,0.00050182252432927766,9,1.0,False,0.1282060637425439,0.0
10,0.05,37,0.21198004774650014,1.0,False,3.0668817522290674,3.0668817522290674,3.8841836757951939e-05,9,1.0,False,0.04252085087378444,0.0
10,0.05,38,0.18355336990676352,1.0,False,3.0886870619775868,3.0886870619775868,7.5976489537273065e-07,9,1.0,False,0.021188194559525371,0.0
10,0.05,39,0.16314848388083394,1.0,False,3.1009026249000482,3.1009026249000482,7.5466056837420543e-09,9,1.0,False,0.017146472673035595,0.0
10,0.05,40,0.14518847601571661,1.0,False,3.1106124979329151,3.1106124979329151,6.2068530469302617e-11,9,1.0,False,0.016767064010906683,0.0
10,0.05,41,0.12863536259535766,1.0,False,3.1189060912952642,3.1189060912952642,5.1505477063095877e-13,9,1.0,False,0.017571367456691436,0.0
