"","Number.of.states","Prior.distribution.type","Number.of.messages","Impairment","Tolerance","Dynamics","Speaker.entropy","Hearer.entropy","Speaker.convexity","Hearer.convexity","Speaker.Voronoiness","Hearer.Voronoiness","Speaker.informativity","Hearer.informativity","Expected.utility","Iterations","Speaker.Convex.Cat","Hearer.Convex.Cat","Speaker.strategy.file","Hearer.strategy.file","Speaker.meanEU","Hearer.meanEU"
"32",6,"uniform",2,0,0.05,"replicator dynamics",8.02590439183789e-15,0.387596952736776,3.31058417753328e-27,1,0.916666666666667,0.680555555555556,0.752038698388129,0.752038698388137,0.999999838143799,6,0,1,"results/strategies/20140918-142422-528448-speaker.csv","results/strategies/20140918-142422-528448-hearer.csv",0.738170356106276,0.740407049694276
"33",6,"uniform",2,0,0.05,"replicator dynamics",1.08654724003696e-11,0.514406795623652,3.56434250349959e-40,1,0.75,625,0.75203869837684,0.752038698387936,0.999999808138814,6,0,1,"results/strategies/20140918-142422-883143-speaker.csv","results/strategies/20140918-142422-883143-hearer.csv",0.707651898751948,0.721280544257019
"34",6,"uniform",2,0,0.05,"replicator dynamics",3.4834501839446e-18,0.531377592427953,1,1,1,0.819444444444444,0.752038698388137,0.752038698388137,0.999999914891033,8,1,1,"results/strategies/20140918-142423-243902-speaker.csv","results/strategies/20140918-142423-243902-hearer.csv",0.734009637952062,0.720489771712382
"35",6,"uniform",2,0,0.05,"replicator dynamics",1.44047628616615e-14,0.434734476929678,1.70962014165176e-15,1,0.916666666666667,0.763888888888889,0.75203869838813,0.752038698388137,0.999999831197276,7,0,1,"results/strategies/20140918-142423-601345-speaker.csv","results/strategies/20140918-142423-601345-hearer.csv",0.698997615297869,0.735077542814308
"36",6,"uniform",2,0,0.05,"replicator dynamics",8.11395633266779e-18,0.53293792914974,1.29479399284413e-23,1,0.916666666666667,0.75,0.693147180559945,0.693147180559945,0.999999849496353,7,0,1,"results/strategies/20140918-142423-962180-speaker.csv","results/strategies/20140918-142423-962180-hearer.csv",0.750029378606253,0.674405826251991
"37",6,"uniform",2,0,0.05,"replicator dynamics",2.82237966719625e-17,0.443514262199808,1.82346145413069e-30,1,0.916666666666667,0.791666666666667,0.752038698388137,0.752038698388137,0.999999879332258,7,0,1,"results/strategies/20140918-142424-320066-speaker.csv","results/strategies/20140918-142424-320066-hearer.csv",0.718195831471634,0.731744827359225
"38",6,"uniform",2,0,0.05,"replicator dynamics",3.49500806376943e-09,0.509620425080657,9.423491387642e-11,1,0.916666666666667,0.791666666666667,0.752038694754573,0.752038698307574,0.999999837726212,5,0,1,"results/strategies/20140918-142424-673290-speaker.csv","results/strategies/20140918-142424-673290-hearer.csv",0.731061416493212,0.698227813856616
"39",6,"uniform",2,0,0.05,"replicator dynamics",3.94756063015833e-12,0.506315972437125,9.57498266348896e-40,1,0.75,0.666666666666667,0.693147180557209,0.693147180559945,0.999999774929647,6,0,1,"results/strategies/20140918-142425-028084-speaker.csv","results/strategies/20140918-142425-028084-hearer.csv",0.749857335460524,0.699474514086067
"40",6,"uniform",2,0,0.05,"replicator dynamics",5.90682599607682e-09,0.397771776210438,8.73815969327071e-36,1,0.791666666666667,0.680555555555556,0.752038695317394,0.752038698530297,0.999999887458009,5,0,1,"results/strategies/20140918-142425-381291-speaker.csv","results/strategies/20140918-142425-381291-hearer.csv",0.732404662100444,0.771752063114235
"41",6,"uniform",2,0,0.05,"replicator dynamics",9.48944840212538e-16,0.519315302534212,2.42726601976933e-25,1,0.916666666666667,0.736111111111111,0.752038698388136,0.752038698388137,0.999999877950013,8,0,1,"results/strategies/20140918-142425-741105-speaker.csv","results/strategies/20140918-142425-741105-hearer.csv",0.718195831471634,0.706307857474823
