"","Number.of.states","Prior.distribution.type","Number.of.messages","Impairment","Tolerance","Dynamics","Speaker.entropy","Hearer.entropy","Speaker.convexity","Hearer.convexity","Speaker.Voronoiness","Hearer.Voronoiness","Speaker.informativity","Hearer.informativity","Expected.utility","Iterations","Speaker.Convex.Cat","Hearer.Convex.Cat","Speaker.strategy.file","Hearer.strategy.file","Speaker.meanEU","Hearer.meanEU"
"292",6,"uniform",2,0.05,0.1,"replicator dynamics",2.16746724834111e-06,0.316035776936438,5.70642771368801e-07,1,0.916666666666667,0.763888888888889,0.693145678186387,0.693147091897846,0.982087978056805,183,0,1,"results/strategies/20150729-105046-948351-speaker.csv","results/strategies/20150729-105046-948351-hearer.csv",0.756353110738179,0.771308354677077
"293",6,"uniform",2,0.05,0.1,"replicator dynamics",0.000283737249012482,0.207838115898236,0.000115384201110369,1,0.833333333333333,0.916666666666667,0.692950514566422,0.693147065210796,0.982091322625059,193,0,1,"results/strategies/20150729-105047-969183-speaker.csv","results/strategies/20150729-105047-969183-hearer.csv",0.725490412691411,0.839718278722007
"294",6,"uniform",2,0.05,0.1,"replicator dynamics",1.54137450982599e-06,0.392083535844213,1.82086480590202e-15,1,0.833333333333333,0.763888888888889,0.693146112160637,0.6931470198069,0.973250273144225,67,0,1,"results/strategies/20150729-105048-579355-speaker.csv","results/strategies/20150729-105048-579355-hearer.csv",0.702018769258068,0.69804303476432
"295",6,"uniform",2,0.05,0.1,"replicator dynamics",3.08674666372848e-06,0.165866406274611,1.50462778028272e-09,1,0.833333333333333,0.861111111111111,0.693145040990763,0.693147157578948,0.990920779804294,168,0,1,"results/strategies/20150729-105049-510097-speaker.csv","results/strategies/20150729-105049-510097-hearer.csv",0.829637542950737,0.814627280339892
"296",6,"uniform",2,0.05,0.1,"replicator dynamics",5.04082689624276e-06,0.176227428982121,2.30321924113143e-08,1,0.875,0.722222222222222,0.752033511038115,0.752038484133276,0.981136539608966,201,0,1,"results/strategies/20150729-105050-576974-speaker.csv","results/strategies/20150729-105050-576974-hearer.csv",0.730930773805593,0.816000711453281
"297",6,"uniform",2,0.05,0.1,"replicator dynamics",3.97654494019196e-08,0.241702567115608,1,1,1,0.972222222222222,0.693147152996636,0.693147176581202,0.997523478187577,201,1,1,"results/strategies/20150729-105051-622904-speaker.csv","results/strategies/20150729-105051-622904-hearer.csv",0.89332682137814,0.835779388884586
"298",6,"uniform",2,0.05,0.1,"replicator dynamics",6.35409762927029e-06,0.176557858069187,2.5494639844763e-10,1,0.833333333333333,0.819444444444444,0.987027302413485,0.987039724178806,0.980891110661712,201,0,1,"results/strategies/20150729-105052-667795-speaker.csv","results/strategies/20150729-105052-667795-hearer.csv",0.636980292621673,0.784603266759103
"299",6,"uniform",2,0.05,0.1,"replicator dynamics",6.39002286556842e-07,0.327995817335565,1,1,0.916666666666667,0.986111111111111,0.752038034372277,0.752038647286927,0.990913000566986,160,1,1,"results/strategies/20150729-105053-601471-speaker.csv","results/strategies/20150729-105053-601471-hearer.csv",0.772200509156772,0.782665774262617
"300",6,"uniform",2,0.05,0.1,"replicator dynamics",1.99436435697417e-05,0.317894789459358,6.3804939983994e-06,1,0.833333333333333,0.930555555555556,0.69313335670607,0.693147130394574,0.982006294146229,201,0,1,"results/strategies/20150729-105054-650255-speaker.csv","results/strategies/20150729-105054-650255-hearer.csv",0.725485508569205,0.808538392089929
"301",6,"uniform",2,0.05,0.2,"replicator dynamics",0.00041125550685363,0.11710430187259,0.999999999995713,1,0.916666666666667,0.875,0.751611152751109,0.752016184317831,0.899286466093478,30,1,1,"results/strategies/20150729-105055-139583-speaker.csv","results/strategies/20150729-105055-139583-hearer.csv",0.834213184658992,0.822361204407312
"302",6,"uniform",2,0.05,0.2,"replicator dynamics",0.00471594901545084,0.0597698489066704,0.999999997536507,1,0.916666666666667,0.875,0.747141294558143,0.751681349043072,0.899276877115171,27,1,1,"results/strategies/20150729-105055-624219-speaker.csv","results/strategies/20150729-105055-624219-hearer.csv",0.834421934946266,0.828800620284485
"303",6,"uniform",2,0.05,0.2,"replicator dynamics",1.09970643555809e-07,0.00370708514266485,1,1,1,0.972222222222222,0.693147104334104,0.693147180261871,0.999835007947343,58,1,1,"results/strategies/20150729-105056-236285-speaker.csv","results/strategies/20150729-105056-236285-hearer.csv",0.911987349977641,0.929754126972946
"304",6,"uniform",2,0.05,0.2,"replicator dynamics",1.10897465584856e-07,0.00370539209109003,1,1,1,0.972222222222222,0.69314710369168,0.693147179771875,0.999831172804022,46,1,1,"results/strategies/20150729-105056-775360-speaker.csv","results/strategies/20150729-105056-775360-hearer.csv",0.9119873499611,0.929727119864851
"305",6,"uniform",2,0.05,0.2,"replicator dynamics",4.31106292379333e-07,0.167887310786121,0.999999999999999,1,1,1,0.752038270619456,0.752038542684234,0.899121484013135,33,1,1,"results/strategies/20150729-105057-285360-speaker.csv","results/strategies/20150729-105057-285360-hearer.csv",0.834199385649621,0.781037003286329
"306",6,"uniform",2,0.05,0.2,"replicator dynamics",1.10116908877193e-07,0.00423109601696911,1,1,1,0.972222222222222,0.693147104232721,0.693147179997026,0.9998242753028,35,1,1,"results/strategies/20150729-105057-811266-speaker.csv","results/strategies/20150729-105057-811266-hearer.csv",0.911987349972105,0.929729817121613
"307",6,"uniform",2,0.05,0.2,"replicator dynamics",1.09417720085805e-07,0.00412759100206104,1,1,1,0.972222222222222,0.693147104717361,0.693147180422319,0.999806610070937,46,1,1,"results/strategies/20150729-105058-367544-speaker.csv","results/strategies/20150729-105058-367544-hearer.csv",0.911987349984732,0.929725959837793
"308",6,"uniform",2,0.05,0.2,"replicator dynamics",0.00102673458601972,0.268373678321119,1.46262742786939e-14,1,0.833333333333333,0.833333333333333,0.750972575396364,0.751973456149325,0.788082901726448,15,0,1,"results/strategies/20150729-105058-814926-speaker.csv","results/strategies/20150729-105058-814926-hearer.csv",0.621204076380408,0.627354515190496
"309",6,"uniform",2,0.05,0.2,"replicator dynamics",1.10317347016784e-07,0.00442941460748494,1,1,1,0.972222222222222,0.693147104093787,0.69314717996641,0.999808304298231,40,1,1,"results/strategies/20150729-105059-359720-speaker.csv","results/strategies/20150729-105059-359720-hearer.csv",0.911987349970965,0.929723394809703
"310",6,"uniform",2,0.05,0.2,"replicator dynamics",6.30319106734981e-07,0.187121133052283,0.999999999999999,1,1,0.958333333333333,0.752038061286849,0.752038482376904,0.899116791663647,36,1,1,"results/strategies/20150729-105059-887477-speaker.csv","results/strategies/20150729-105059-887477-hearer.csv",0.802560923658593,0.767262669002104
"311",6,"uniform",2,0.05,0.2,"replicator dynamics",1.10371629574162e-07,0.00370291655941696,1,1,1,0.972222222222222,0.693147104056162,0.693147180026306,0.999838275501505,41,1,1,"results/strategies/20150729-105100-434259-speaker.csv","results/strategies/20150729-105100-434259-hearer.csv",0.911987349970493,0.929746286407973
"312",6,"uniform",2,0.05,0.2,"replicator dynamics",5.46264890230074e-07,0.285322193865587,0.999999999999999,1,0.958333333333333,0.958333333333333,0.752038140867729,0.752038617195165,0.899135447424198,31,1,1,"results/strategies/20150729-105100-938880-speaker.csv","results/strategies/20150729-105100-938880-hearer.csv",0.834199389321308,0.830112001333994
"313",6,"uniform",2,0.05,0.2,"replicator dynamics",1.64110715062412e-07,0.221893222047594,1,1,1,0.986111111111111,0.752038545601138,0.752038678156939,0.899128949730396,26,1,1,"results/strategies/20150729-105101-422763-speaker.csv","results/strategies/20150729-105101-422763-hearer.csv",0.802560911830537,0.784225275518747
"314",6,"uniform",2,0.05,0.2,"replicator dynamics",1.23393282073838e-06,0.235418641634991,0.999999999999999,1,0.916666666666667,0.986111111111111,0.752037420915564,0.752038609490002,0.899145927742095,36,1,1,"results/strategies/20150729-105101-936452-speaker.csv","results/strategies/20150729-105101-936452-hearer.csv",0.802560941817749,0.837769400435144
"315",6,"uniform",2,0.05,0.2,"replicator dynamics",1.79871510241372e-07,0.178772980670992,1,1,0.916666666666667,0.958333333333333,0.752038521871984,0.752038692913765,0.899141602902144,38,1,1,"results/strategies/20150729-105102-455899-speaker.csv","results/strategies/20150729-105102-455899-hearer.csv",0.80256091317232,0.817019792287378
"316",6,"uniform",2,0.05,0.2,"replicator dynamics",2.3962624007852e-05,0.350299814884651,0.999999999999964,1,0.958333333333333,0.958333333333333,0.752013790283125,0.752037535492047,0.899114101112118,34,1,1,"results/strategies/20150729-105102-970620-speaker.csv","results/strategies/20150729-105102-970620-hearer.csv",0.834199986812731,0.855888779174975
"317",6,"uniform",2,0.05,0.2,"replicator dynamics",1.10848803005802e-07,0.00389323704943838,1,1,1,0.972222222222222,0.69314710372541,0.693147179968586,0.999821673574874,51,1,1,"results/strategies/20150729-105103-531969-speaker.csv","results/strategies/20150729-105103-531969-hearer.csv",0.91198734994649,0.929677603015142
"318",6,"uniform",2,0.05,0.2,"replicator dynamics",1.10932928055169e-07,0.00377498816682269,1,1,1,0.972222222222222,0.693147103667099,0.693147179848458,0.999828104713782,43,1,1,"results/strategies/20150729-105104-071561-speaker.csv","results/strategies/20150729-105104-071561-hearer.csv",0.911987349944546,0.929680350437172
"319",6,"uniform",2,0.05,0.2,"replicator dynamics",1.11026083153733e-07,0.00438104630296674,1,1,1,0.972222222222222,0.693147103602529,0.693147179488088,0.999808350613334,38,1,1,"results/strategies/20150729-105104-591262-speaker.csv","results/strategies/20150729-105104-591262-hearer.csv",0.911987349945034,0.929666285694935
"320",6,"uniform",2,0.05,0.2,"replicator dynamics",1.11389280598185e-07,0.00380428721120143,1,1,1,0.972222222222222,0.69314710335078,0.69314717942613,0.99981654805846,59,1,1,"results/strategies/20150729-105105-176203-speaker.csv","results/strategies/20150729-105105-176203-hearer.csv",0.911987349952215,0.929706061437302
"321",6,"uniform",2,0.05,0.2,"replicator dynamics",1.09754830955243e-07,0.00371076644551948,1,1,1,0.972222222222222,0.693147104483694,0.693147180246897,0.999836268760956,45,1,1,"results/strategies/20150729-105105-712078-speaker.csv","results/strategies/20150729-105105-712078-hearer.csv",0.911987349979669,0.929746039176911
"322",6,"uniform",2,0.05,0.2,"replicator dynamics",1.10202382757157e-07,0.00374585686462815,1,1,1,0.972222222222222,0.693147104173474,0.693147179978508,0.999838746012762,34,1,1,"results/strategies/20150729-105106-228250-speaker.csv","results/strategies/20150729-105106-228250-hearer.csv",0.911987349965525,0.92972324564012
"323",6,"uniform",2,0.05,0.2,"replicator dynamics",1.12042370174429e-07,0.124125794317205,1,1,1,0.986111111111111,0.752038606916622,0.752038697087263,0.899145120296506,33,1,1,"results/strategies/20150729-105106-726310-speaker.csv","results/strategies/20150729-105106-726310-hearer.csv",0.802560909658479,0.757274083591054
"324",6,"uniform",2,0.05,0.2,"replicator dynamics",1.11181622187074e-07,0.0037252458166922,1,1,1,0.972222222222222,0.693147103494717,0.693147179532237,0.999826247787673,42,1,1,"results/strategies/20150729-105107-251478-speaker.csv","results/strategies/20150729-105107-251478-hearer.csv",0.911987349955823,0.929717481744391
"325",6,"uniform",2,0.05,0.2,"replicator dynamics",0.00181981700106271,0.00400326699033118,0.99999999999188,1,1,0.986111111111111,0.691886129098988,0.693146767329873,0.89917809947346,41,1,1,"results/strategies/20150729-105107-780541-speaker.csv","results/strategies/20150729-105107-780541-hearer.csv",0.911913367377161,0.832483260729499
"326",6,"uniform",2,0.05,0.2,"replicator dynamics",1.31963268355736e-05,0.16501977979679,0.999999999999965,1,0.916666666666667,0.986111111111111,0.752024989538877,0.752037758738714,0.89912445615364,34,1,1,"results/strategies/20150729-105108-279820-speaker.csv","results/strategies/20150729-105108-279820-hearer.csv",0.834199696980802,0.826900514756984
"327",6,"uniform",2,0.05,0.2,"replicator dynamics",6.27690333329606e-06,0.323838326054291,0.999999999999985,1,0.916666666666667,0.986111111111111,0.752032183569105,0.752038138668864,0.899136161835447,31,1,1,"results/strategies/20150729-105108-783918-speaker.csv","results/strategies/20150729-105108-783918-hearer.csv",0.834199521527885,0.827848463232755
"328",6,"uniform",2,0.05,0.2,"replicator dynamics",1.11043441962657e-07,0.00401981984891576,1,1,1,0.972222222222222,0.693147103590497,0.693147179876402,0.999813099565819,44,1,1,"results/strategies/20150729-105109-320240-speaker.csv","results/strategies/20150729-105109-320240-hearer.csv",0.911987349941396,0.92966332243165
"329",6,"uniform",2,0.05,0.2,"replicator dynamics",0.00380236826861781,0.445779231435692,3.32539393994617e-08,1,0.75,0.791666666666667,0.748123817544411,0.751741932740665,0.788078096369541,13,0,1,"results/strategies/20150729-105109-759080-speaker.csv","results/strategies/20150729-105109-759080-hearer.csv",0.621352425759183,0.665991777524802
"330",6,"uniform",2,0.05,0.2,"replicator dynamics",1.31209676565024e-07,0.060924453537878,1,1,1,0.986111111111111,0.752038589974838,0.7520386826725,0.899118499917376,32,1,1,"results/strategies/20150729-105110-254766-speaker.csv","results/strategies/20150729-105110-254766-hearer.csv",0.802560909707599,0.743445862005608
"331",6,"uniform",2,0.05,0.2,"replicator dynamics",1.11528244990526e-07,0.00395529114555635,1,1,1,0.972222222222222,0.693147103254457,0.693147179753998,0.999804033126452,47,1,1,"results/strategies/20150729-105110-804496-speaker.csv","results/strategies/20150729-105110-804496-hearer.csv",0.911987349928752,0.92963725636627
"332",6,"uniform",2,0.05,0.2,"replicator dynamics",0.00156110246908856,0.0194012357362371,0.99999999999312,1,0.916666666666667,0.930555555555556,0.75041615689281,0.751938471519181,0.899122196373469,30,1,1,"results/strategies/20150729-105111-297231-speaker.csv","results/strategies/20150729-105111-297231-hearer.csv",0.834261478140514,0.831633543491971
"333",6,"uniform",2,0.05,0.2,"replicator dynamics",2.25239056128264e-07,0.16230008302282,1,1,1,1,0.752038487490818,0.752038634598556,0.899142090952337,24,1,1,"results/strategies/20150729-105111-777836-speaker.csv","results/strategies/20150729-105111-777836-hearer.csv",0.834199381238225,0.776207134553642
"334",6,"uniform",2,0.05,0.2,"replicator dynamics",1.71731193910775e-07,0.181755697876893,1,1,0.916666666666667,0.958333333333333,0.752038530836408,0.752038693743939,0.899129706736754,45,1,1,"results/strategies/20150729-105112-316635-speaker.csv","results/strategies/20150729-105112-316635-hearer.csv",0.8025609129098,0.814927483036456
"335",6,"uniform",2,0.05,0.2,"replicator dynamics",1.93757209637339e-06,0.255926112399475,0.999999999999998,1,0.958333333333333,0.986111111111111,0.752036691228606,0.752038583713945,0.899142787107824,21,1,1,"results/strategies/20150729-105112-784328-speaker.csv","results/strategies/20150729-105112-784328-hearer.csv",0.834199419715174,0.83957642331014
"336",6,"uniform",2,0.05,0.2,"replicator dynamics",2.8167923762125e-07,0.236287760983195,0.999999999999999,1,1,1,0.752038425675923,0.752038611728977,0.899113804830249,17,1,1,"results/strategies/20150729-105113-233303-speaker.csv","results/strategies/20150729-105113-233303-hearer.csv",0.834199382743712,0.787939404926354
"337",6,"uniform",2,0.05,0.2,"replicator dynamics",1.10798441981376e-07,0.00431011081719457,1,1,1,0.972222222222222,0.693147103760318,0.69314717956809,0.999814325507761,30,1,1,"results/strategies/20150729-105113-724560-speaker.csv","results/strategies/20150729-105113-724560-hearer.csv",0.911987349957234,0.929695983879665
"338",6,"uniform",2,0.05,0.2,"replicator dynamics",1.10518562578647e-07,0.00411200556612196,1,1,1,0.972222222222222,0.693147103954315,0.693147179907625,0.999816434015391,46,1,1,"results/strategies/20150729-105114-297246-speaker.csv","results/strategies/20150729-105114-297246-hearer.csv",0.911987349967187,0.929720269812974
"339",6,"uniform",2,0.05,0.2,"replicator dynamics",3.47741248666147e-07,0.143573011920905,0.999999999983531,1,1,0.944444444444444,0.752038357991382,0.75203859092737,0.899274674576625,27,1,1,"results/strategies/20150729-105114-777420-speaker.csv","results/strategies/20150729-105114-777420-hearer.csv",0.834199383896609,0.777348335492425
"340",6,"uniform",2,0.05,0.2,"replicator dynamics",1.11351203346299e-07,0.00366477937567786,1,1,1,0.972222222222222,0.693147103377173,0.69314717978245,0.999819818782233,77,1,1,"results/strategies/20150729-105115-427423-speaker.csv","results/strategies/20150729-105115-427423-hearer.csv",0.911987349933439,0.929656452902703
"341",6,"uniform",2,0.05,0.2,"replicator dynamics",1.10984972717197e-07,0.00351783064333,1,1,1,0.972222222222222,0.693147103631024,0.693147179924863,0.999835768620446,50,1,1,"results/strategies/20150729-105115-990563-speaker.csv","results/strategies/20150729-105115-990563-hearer.csv",0.911987349943031,0.929683193565429
