Number of states,Prior distribution type,Number of messages,Impairment,Tolerance,Dynamics,Speaker entropy,Hearer entropy,Speaker convexity,Hearer convexity,Speaker Voronoiness,Hearer Voronoiness,Speaker informativity,Hearer informativity,Expected utility,Iterations,Speaker Convex Cat, Hearer Convex Cat, Speaker strategy file,Hearer strategy file
6,uniform,2,0.0,0.05,replicator dynamics,5.4697310640827262e-10,0.60282225274359047,1.1160060521375014e-33,1.0000000000000002,0.8333333333333334,0.7083333333333334,0.69314718018081245,0.69314718020763466,0.99999985482794518,6,0,1,results/strategies/20150729-104756-366061-speaker.csv,results/strategies/20150729-104756-366061-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,1.6496384372544648e-07,0.439367754033964,0.999999962071488,1.0,1.0,0.7916666666666666,0.75203852687181127,0.75203865227485456,0.99999992600173315,5,1,1,results/strategies/20150729-104756-782777-speaker.csv,results/strategies/20150729-104756-782777-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,4.132013687835819e-08,0.5422355317517662,4.7772523050401008e-28,1.0,0.8333333333333334,0.7638888888888888,0.69314715191900922,0.69314717050090646,0.99999986534191054,6,0,1,results/strategies/20150729-104757-192607-speaker.csv,results/strategies/20150729-104757-192607-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,9.1580063285735325e-11,0.31854700045991274,1.4680198116272054e-11,1.0,0.8333333333333334,0.9166666666666666,0.69314718049646684,0.69314718055939428,0.99999988511453586,9,0,1,results/strategies/20150729-104757-617823-speaker.csv,results/strategies/20150729-104757-617823-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,1.5066923303147936e-09,0.36688453362780582,1.2771598740148295e-48,0.99999999999999989,0.875,0.7638888888888888,0.6931471795155858,0.69314718050149815,0.99999988035365261,9,0,1,results/strategies/20150729-104758-034959-speaker.csv,results/strategies/20150729-104758-034959-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,6.8385237359435503e-10,0.51406439619498867,2.6256091217464671e-57,1.0,0.8333333333333334,0.625,0.69314718008593512,0.69314718036717671,0.99999977491358194,8,0,1,results/strategies/20150729-104758-452843-speaker.csv,results/strategies/20150729-104758-452843-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,4.4920164691947821e-07,0.39551716630513339,2.4326641993469313e-35,1.0,0.75,0.7083333333333334,0.75203823134387826,0.75203861616019729,0.99999987952694291,8,0,1,results/strategies/20150729-104758-874224-speaker.csv,results/strategies/20150729-104758-874224-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,2.229925684689382e-11,0.50660488346282251,3.3831493563348236e-12,0.99999999999999989,0.9166666666666666,0.7083333333333334,0.69314718054448865,0.69314718055669422,0.99999990188024224,6,0,1,results/strategies/20150729-104759-288135-speaker.csv,results/strategies/20150729-104759-288135-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,8.5433827839922466e-11,0.54065042748768566,1.3656862877267273e-11,1.0,0.8333333333333334,0.8611111111111112,0.69314718050072721,0.69314718053762847,0.99999987247843236,7,0,1,results/strategies/20150729-104759-714016-speaker.csv,results/strategies/20150729-104759-714016-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,3.241367455617654e-09,0.53471169356533033,1.3666705047538072e-32,0.99999999999999989,0.7916666666666666,0.6805555555555556,0.69314717831320061,0.69314717911964552,0.99999982001551857,7,0,1,results/strategies/20150729-104800-128540-speaker.csv,results/strategies/20150729-104800-128540-hearer.csv
