Number of states,Prior distribution type,Number of messages,Impairment,Tolerance,Dynamics,Speaker entropy,Hearer entropy,Speaker Voronoiness,Hearer Voronoiness,Expected utility,Iterations
10,uniform,2,0.0,0.1,replicator dynamics,3.2982650618933897e-107,0.19471341250591395,1.0,0.89,0.99589551519121788,75
10,uniform,2,0.0,0.1,replicator dynamics,4.4635915102192612e-115,0.19629594435258554,1.0,0.89,0.99590325046843009,80
10,uniform,2,0.0,0.1,replicator dynamics,6.0696934290028851e-123,0.19789151794073553,1.0,0.89,0.99591110492313561,85
10,uniform,2,0.0,0.1,replicator dynamics,8.2891988457255638e-131,0.19949945418423745,1.0,0.89,0.99591909408794366,90
10,uniform,2,0.0,0.1,replicator dynamics,1.1368587281328902e-138,0.20111934914783378,1.0,0.89,0.99592722479583373,95
10,uniform,2,0.0,0.1,replicator dynamics,0.68914868297012144,0.73020325177735868,0.725,0.685,0.54873755871331475,0
10,uniform,2,0.0,0.1,replicator dynamics,0.15387915758928383,0.44310816985410312,0.875,0.705,0.82097171093105858,5
10,uniform,2,0.0,0.1,replicator dynamics,0.053065923978332083,0.43423674526932488,0.875,0.735,0.84846369068797356,10
10,uniform,2,0.0,0.1,replicator dynamics,0.058700612793027906,0.39066762321529336,0.85,0.84,0.87511902899792704,15
10,uniform,2,0.0,0.1,replicator dynamics,0.010496249516219511,0.24747366421735406,0.9,0.87,0.96432369404544471,20
10,uniform,2,0.0,0.1,replicator dynamics,3.1405694269578716e-08,0.13913336481564126,0.9,0.87,0.9851389805599029,25
10,uniform,2,0.0,0.1,replicator dynamics,2.6207367739555364e-13,0.091894040494683055,0.9,0.88,0.99045503183031303,30
10,uniform,2,0.0,0.1,replicator dynamics,8.9968600486885354e-06,0.071013809229868274,0.9,0.89,0.99223963827337869,35
10,uniform,2,0.0,0.1,replicator dynamics,1.7469239646576076e-12,0.063748154514526409,0.95,0.91,0.99529540419447593,40
10,uniform,2,0.0,0.1,replicator dynamics,4.7896073343610282e-23,0.061447827820290936,0.95,0.92,0.99543489605167301,45
10,uniform,2,0.0,0.1,replicator dynamics,2.0901474796854711e-24,0.060487175847781509,0.95,0.93,0.99548572703983973,50
10,uniform,2,0.0,0.1,replicator dynamics,8.6348589757277446e-26,0.060092913228529138,0.95,0.93,0.99550423023539569,55
10,uniform,2,0.0,0.1,replicator dynamics,3.4889594975581901e-27,0.059933231466014383,0.95,0.925,0.99551096305276598,60
10,uniform,2,0.0,0.1,replicator dynamics,1.3960591797848364e-28,0.059869234262550815,0.95,0.925,0.99551341259963666,65
10,uniform,2,0.0,0.1,replicator dynamics,5.5582198880455592e-30,0.05984380486349028,0.95,0.92,0.99551430375292727,70
10,uniform,2,0.0,0.1,replicator dynamics,2.205971518692138e-31,0.059833772659772279,0.95,0.91,0.99551462795141021,75
10,uniform,2,0.0,0.1,replicator dynamics,8.7345403780039318e-33,0.059829838852179927,0.95,0.91,0.99551474589289657,80
10,uniform,2,0.0,0.1,replicator dynamics,3.4516309167692419e-34,0.059828304387545037,0.95,0.91,0.99551478879920363,85
10,uniform,2,0.0,0.1,replicator dynamics,1.3616074700982009e-35,0.059827708554287665,0.95,0.91,0.99551480440821205,90
10,uniform,2,0.0,0.1,replicator dynamics,5.3628111413655165e-37,0.059827478113801888,0.95,0.91,0.99551481008665499,95
10,uniform,2,0.0,0.1,replicator dynamics,0.69381433692097461,0.78492097875060851,0.8,0.615,0.60437833116866846,0
10,uniform,2,0.0,0.1,replicator dynamics,0.0066064106691701768,0.64221895549956476,0.85,0.625,0.86550147213692274,5
10,uniform,2,0.0,0.1,replicator dynamics,5.333206459133186e-05,0.64041557441652519,0.875,0.765,0.90833921054640909,10
10,uniform,2,0.0,0.1,replicator dynamics,1.6611942719977904e-07,0.53817024697271176,0.875,0.795,0.94842455443331719,15
10,uniform,2,0.0,0.1,replicator dynamics,2.579747174759547e-10,0.40893288487287921,0.875,0.795,0.97397901263587017,20
