Number of states,Prior distribution type,Number of messages,Impairment,Tolerance,Dynamics,Speaker entropy,Hearer entropy,Speaker convexity,Hearer convexity,Speaker Voronoiness,Hearer Voronoiness,Speaker informativity,Hearer informativity,Expected utility,Iterations,Speaker Convex Cat, Hearer Convex Cat, Speaker strategy file,Hearer strategy file
6,uniform,2,0.0,0.05,replicator dynamics,1.0343446921864164e-18,0.55306491524657864,1.0,1.0,1.0,875,0.75203869838813708,0.75203869838813719,0.9999999175607478,6,1,1,results/strategies/20140918-142414-859502-speaker.csv,results/strategies/20140918-142414-859502-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,4.0272218757348011e-13,0.41930726387698719,4.8449735380312633e-28,1.0000000000000002,0.9166666666666666,0.6527777777777778,0.9870405130101676,0.98704051301098372,0.99999983756990429,8,0,1,results/strategies/20140918-142415-220871-speaker.csv,results/strategies/20140918-142415-220871-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,3.4608940628958364e-09,0.4346175774494524,1.0,1.0000000000000002,1.0,0.9166666666666666,0.7520386947897737,0.75203869830689807,0.99999992141019878,7,1,1,results/strategies/20140918-142415-577500-speaker.csv,results/strategies/20140918-142415-577500-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,5.1138151087225159e-13,0.47889939212290483,4.3711506602710669e-14,1.0,0.9166666666666666,0.7777777777777778,0.69314718055959079,0.69314718055994518,0.99999984817009024,4,0,1,results/strategies/20140918-142415-929291-speaker.csv,results/strategies/20140918-142415-929291-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,1.2115393751802221e-11,0.52377860987147717,1.6844415885342641e-41,0.99999999999999989,0.8333333333333334,625,0.69314718055154767,0.69314718055993529,0.99999980362473995,6,0,1,results/strategies/20140918-142416-286948-speaker.csv,results/strategies/20140918-142416-286948-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,4.0701238533190092e-11,0.37024085116646671,6.3143813976960681e-12,1.0000000000000002,0.9166666666666666,0.7083333333333334,0.75203869834581905,0.7520386983873466,0.99999983040191132,9,0,1,results/strategies/20140918-142416-647849-speaker.csv,results/strategies/20140918-142416-647849-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,7.2615917290891356e-12,0.28300875376157336,0.99999999999894351,0.99999999999999989,1.0,0.6805555555555556,0.9870405129959049,0.98704051301058227,0.99999985114079104,6,1,1,results/strategies/20140918-142417-011111-speaker.csv,results/strategies/20140918-142417-011111-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,2.6016300033222876e-09,0.49544579789632687,1.303851367996418e-39,1.0,0.9166666666666666,0.6666666666666666,0.69314717875663279,0.69314718055994529,0.9999998698701742,9,0,1,results/strategies/20140918-142417-464637-speaker.csv,results/strategies/20140918-142417-464637-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,5.7496491233558055e-10,0.40964473921362871,0.99999999990049393,0.99999999999999978,1.0,0.7083333333333334,0.98704051181539898,0.98704051297120232,0.99999985444962103,6,1,1,results/strategies/20140918-142417-822820-speaker.csv,results/strategies/20140918-142417-822820-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,1.8768431799907948e-13,0.4827955285527134,2.4121777059458315e-14,0.99999999999999978,875,0.7222222222222222,0.69314718055981528,0.6931471805599454,0.99999987186694939,6,0,1,results/strategies/20140918-142418-199370-speaker.csv,results/strategies/20140918-142418-199370-hearer.csv
