Number of states,Prior distribution type,Number of messages,Impairment,Tolerance,Dynamics,Expected utility,Iterations
10,uniform,2,0.0,0.1,replicator dynamics,0.99645629047290207,80
10,uniform,2,0.0,0.1,replicator dynamics,0.99646862341712861,85
10,uniform,2,0.0,0.1,replicator dynamics,0.9964809905751898,90
10,uniform,2,0.0,0.1,replicator dynamics,0.99649339379604218,95
10,uniform,2,0.0,0.1,replicator dynamics,0.99650583184551411,100
10,uniform,2,0.0,0.1,replicator dynamics,0.53698051921114709,0
10,uniform,2,0.0,0.1,replicator dynamics,0.82322259431304978,5
10,uniform,2,0.0,0.1,replicator dynamics,0.84357250329347977,10
10,uniform,2,0.0,0.1,replicator dynamics,0.86541415554894363,15
10,uniform,2,0.0,0.1,replicator dynamics,0.88417973483061574,20
10,uniform,2,0.0,0.1,replicator dynamics,0.9311509190850964,25
10,uniform,2,0.0,0.1,replicator dynamics,0.967631485708636,30
10,uniform,2,0.0,0.1,replicator dynamics,0.98158788478255155,35
10,uniform,2,0.0,0.1,replicator dynamics,0.98744287541962683,40
10,uniform,2,0.0,0.1,replicator dynamics,0.9896972347618862,45
10,uniform,2,0.0,0.1,replicator dynamics,0.99053561251682598,50
10,uniform,2,0.0,0.1,replicator dynamics,0.99084333796647261,55
10,uniform,2,0.0,0.1,replicator dynamics,0.99095575105900491,60
10,uniform,2,0.0,0.1,replicator dynamics,0.99099674781326685,65
10,uniform,2,0.0,0.1,replicator dynamics,0.99101169148759227,70
10,uniform,2,0.0,0.1,replicator dynamics,0.99108881365313028,75
10,uniform,2,0.0,0.1,replicator dynamics,0.99550980792647292,80
10,uniform,2,0.0,0.1,replicator dynamics,0.99551003310855568,85
10,uniform,2,0.0,0.1,replicator dynamics,0.99551009723286732,90
10,uniform,2,0.0,0.1,replicator dynamics,0.9955101189726826,95
10,uniform,2,0.0,0.1,replicator dynamics,0.9955101267250076,100
10,uniform,2,0.0,0.1,replicator dynamics,0.53819634522973392,0
10,uniform,2,0.0,0.1,replicator dynamics,0.85404440763870126,5
10,uniform,2,0.0,0.1,replicator dynamics,0.89652804274159559,10
10,uniform,2,0.0,0.1,replicator dynamics,0.9006825056613138,15
10,uniform,2,0.0,0.1,replicator dynamics,0.90209408189814,20
10,uniform,2,0.0,0.1,replicator dynamics,0.90257610801874866,25
10,uniform,2,0.0,0.1,replicator dynamics,0.9028402805326452,30
10,uniform,2,0.0,0.1,replicator dynamics,0.90407829890258729,35
10,uniform,2,0.0,0.1,replicator dynamics,0.9040937853304325,40
10,uniform,2,0.0,0.1,replicator dynamics,0.90410276633236553,45
10,uniform,2,0.0,0.1,replicator dynamics,0.9041093675020464,50
10,uniform,2,0.0,0.1,replicator dynamics,0.90411506168144584,55
10,uniform,2,0.0,0.1,replicator dynamics,0.9041203749760498,60
10,uniform,2,0.0,0.1,replicator dynamics,0.9041254957143523,65
10,uniform,2,0.0,0.1,replicator dynamics,0.90413049173302451,70
10,uniform,2,0.0,0.1,replicator dynamics,0.90413538789363068,75
10,uniform,2,0.0,0.1,replicator dynamics,0.90414019373371968,80
10,uniform,2,0.0,0.1,replicator dynamics,0.90414491332920432,85
10,uniform,2,0.0,0.1,replicator dynamics,0.90414954881140974,90
10,uniform,2,0.0,0.1,replicator dynamics,0.9041541016208654,95
10,uniform,2,0.0,0.1,replicator dynamics,0.90415857295389412,100
10,uniform,2,0.0,0.1,replicator dynamics,0.66390234689902483,0
10,uniform,2,0.0,0.1,replicator dynamics,0.94139768734993978,5
10,uniform,2,0.0,0.1,replicator dynamics,0.97013446530323388,10
10,uniform,2,0.0,0.1,replicator dynamics,0.98422341319643047,15
10,uniform,2,0.0,0.1,replicator dynamics,0.99037859494771907,20
10,uniform,2,0.0,0.1,replicator dynamics,0.99278735730813139,25
10,uniform,2,0.0,0.1,replicator dynamics,0.99369192356581371,30
10,uniform,2,0.0,0.1,replicator dynamics,0.99403063296719674,35
10,uniform,2,0.0,0.1,replicator dynamics,0.99416161439281969,40
10,uniform,2,0.0,0.1,replicator dynamics,0.99421702766377473,45
10,uniform,2,0.0,0.1,replicator dynamics,0.99424505224666704,50
10,uniform,2,0.0,0.1,replicator dynamics,0.99426317425654887,55
10,uniform,2,0.0,0.1,replicator dynamics,0.99427772890683475,60
10,uniform,2,0.0,0.1,replicator dynamics,0.99429100893219102,65
10,uniform,2,0.0,0.1,replicator dynamics,0.99430384266246641,70
10,uniform,2,0.0,0.1,replicator dynamics,0.99431652806608428,75
10,uniform,2,0.0,0.1,replicator dynamics,0.99432917103701135,80
10,uniform,2,0.0,0.1,replicator dynamics,0.99434180790161242,85
10,uniform,2,0.0,0.1,replicator dynamics,0.99435444978363663,90
10,uniform,2,0.0,0.1,replicator dynamics,0.99436709867227902,95
10,uniform,2,0.0,0.1,replicator dynamics,0.99437975324320516,100
10,uniform,2,0.0,0.1,replicator dynamics,0.57763138814542958,0
10,uniform,2,0.0,0.1,replicator dynamics,0.82868074756734822,5
10,uniform,2,0.0,0.1,replicator dynamics,0.85986369651155015,10
10,uniform,2,0.0,0.1,replicator dynamics,0.89079562369304022,15
10,uniform,2,0.0,0.1,replicator dynamics,0.89631065601823878,20
10,uniform,2,0.0,0.1,replicator dynamics,0.89851859689344638,25
10,uniform,2,0.0,0.1,replicator dynamics,0.89936960877924488,30
10,uniform,2,0.0,0.1,replicator dynamics,0.89969051396611688,35
10,uniform,2,0.0,0.1,replicator dynamics,0.89981051997452277,40
10,uniform,2,0.0,0.1,replicator dynamics,0.8998552576996427,45
10,uniform,2,0.0,0.1,replicator dynamics,0.89987191632036689,50
10,uniform,2,0.0,0.1,replicator dynamics,0.89987811666441953,55
10,uniform,2,0.0,0.1,replicator dynamics,0.89988042406186186,60
10,uniform,2,0.0,0.1,replicator dynamics,0.89988128268566758,65
10,uniform,2,0.0,0.1,replicator dynamics,0.89988160218777868,70
10,uniform,2,0.0,0.1,replicator dynamics,0.89988172107657327,75
10,uniform,2,0.0,0.1,replicator dynamics,0.89988176531572306,80
10,uniform,2,0.0,0.1,replicator dynamics,0.89988178177732581,85
