Number of states,Prior distribution type,Number of messages,Impairment,Tolerance,Dynamics,Speaker entropy,Hearer entropy,Speaker convexity,Hearer convexity,Speaker Voronoiness,Hearer Voronoiness,Speaker informativity,Hearer informativity,Expected utility,Iterations,Speaker strategy file,Hearer strategy file
50,uniform,2,0.5,0.1,replicator dynamics,0.9971813079184414,0.99590236836342971,2.9382846534035969e-13,1.0000000000000018,0.75,0.989,4.5865452338250551e-07,2.1618999923052719e-07,0.48046138152050794,8,results/strategies/20140813-210025-721107-speaker.csv,results/strategies/20140813-210025-721107-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99602463951872322,0.99590237387405256,4.2866548613726977e-13,0.99999999999999822,0.75,0.989,4.1177652977357138e-07,1.9372659018236582e-07,0.48046135519812178,26,results/strategies/20140813-210030-406723-speaker.csv,results/strategies/20140813-210030-406723-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99131844399313129,0.99590237389127734,1.4686116868148405e-12,1.0000000000000016,0.75,0.989,4.1172378478065828e-07,1.937017727455707e-07,0.48046135229574921,25,results/strategies/20140813-210034-746996-speaker.csv,results/strategies/20140813-210034-746996-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.9992514792929561,0.9959023652937431,1.2919984786061214e-13,1.0000000000000002,0.75,0.989,4.8736726226678216e-07,2.2928940168167989e-07,0.48046139837725277,19,results/strategies/20140813-210038-216659-speaker.csv,results/strategies/20140813-210038-216659-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99313552042669229,0.99590236289553657,9.5339344907224264e-13,1.000000000000002,0.75,0.989,5.0867464160885122e-07,2.3931377621989608e-07,0.48046140533408366,24,results/strategies/20140813-210042-437894-speaker.csv,results/strategies/20140813-210042-437894-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99984201039847509,0.99590236100698626,9.6633200717922524e-14,1.000000000000002,0.75,0.989,5.2515236005059036e-07,2.4706596536574102e-07,0.48046141943194826,15,results/strategies/20140813-210045-209572-speaker.csv,results/strategies/20140813-210045-209572-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.997467587617065,0.99590236998207005,2.6568120722847628e-13,1.0000000000000018,0.75,0.989,4.4606778637608823e-07,2.0985943442708112e-07,0.48046137467846622,22,results/strategies/20140813-210049-135469-speaker.csv,results/strategies/20140813-210049-135469-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99780675144060771,0.99590236479996352,2.3475890794878056e-13,0.99999999999999878,0.75,0.989,4.9175818643657925e-07,2.3135517742691938e-07,0.48046139969918644,21,results/strategies/20140813-210052-863148-speaker.csv,results/strategies/20140813-210052-863148-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99893603158368371,0.99590236010162736,1.4893824323798362e-13,1.0,0.75,0.989,5.3315907430030856e-07,2.5083285390935239e-07,0.4804614230715778,26,results/strategies/20140813-210057-337402-speaker.csv,results/strategies/20140813-210057-337402-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99826585554202651,0.99590236858588777,1.968369388714446e-13,0.99999999999999944,0.75,0.989,4.5836070730453842e-07,2.1564282669252506e-07,0.48046138189288662,18,results/strategies/20140813-210100-650224-speaker.csv,results/strategies/20140813-210100-650224-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.98719008012928799,0.99590237337536314,3.4444641250484729e-12,0.99999999999999789,0.75,0.989,4.163616033218002e-07,1.9588370237103819e-07,0.48046135225395686,21,results/strategies/20140813-210104-465573-speaker.csv,results/strategies/20140813-210104-465573-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99893470757050806,0.99590237721673236,1.4902330474851128e-13,1.0000000000000009,0.75,0.989,3.8223884138913804e-07,1.7983013634599475e-07,0.48046134091878273,22,results/strategies/20140813-210108-469704-speaker.csv,results/strategies/20140813-210108-469704-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.9990971238789863,0.99590237163096218,1.3864418304359393e-13,0.999999999999999,0.75,0.989,4.3149024762200838e-07,2.0300121069622672e-07,0.48046136783396692,19,results/strategies/20140813-210111-879888-speaker.csv,results/strategies/20140813-210111-879888-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99993975971084259,0.99590236503783258,9.1759120540214888e-14,1.0000000000000002,0.75,0.989,4.8960621454035305e-07,2.3034275132450754e-07,0.48046140010649885,27,results/strategies/20140813-210116-418798-speaker.csv,results/strategies/20140813-210116-418798-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.98828641049198473,0.99590237498875944,2.7858301085378005e-12,1.0000000000000009,0.75,0.989,4.0210418400774682e-07,1.8917608329056235e-07,0.4804613453825563,21,results/strategies/20140813-210120-254405-speaker.csv,results/strategies/20140813-210120-254405-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99945517925170946,0.99590236241238561,1.1734168062925464e-13,1.0000000000000004,0.75,0.989,5.1276906041816024e-07,2.4124006340807811e-07,0.48046141237436218,21,results/strategies/20140813-210124-213518-speaker.csv,results/strategies/20140813-210124-213518-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99938785048230638,0.99590237450830787,1.2118505663313996e-13,0.99999999999999867,0.75,0.989,4.061120335309636e-07,1.9106164363861419e-07,0.48046135419168678,24,results/strategies/20140813-210128-307692-speaker.csv,results/strategies/20140813-210128-307692-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99436146726174801,0.99590236571308821,6.9296180371304094e-13,1.0000000000000024,0.75,0.989,4.8379178750952874e-07,2.2760726121039804e-07,0.4804613928849194,23,results/strategies/20140813-210132-564028-speaker.csv,results/strategies/20140813-210132-564028-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99997467306219368,0.99590237605456755,9.0050914631169104e-14,0.99999999999999889,0.75,0.989,3.9246548935631342e-07,1.8464141911659102e-07,0.48046134710226801,24,results/strategies/20140813-210136-708141-speaker.csv,results/strategies/20140813-210136-708141-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99999862997917721,0.99590237083993238,8.889073395522016e-14,0.99999999999999967,0.85,0.989,4.3844487775515863e-07,2.0627312329478447e-07,0.4804613722187755,18,results/strategies/20140813-210140-132234-speaker.csv,results/strategies/20140813-210140-132234-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99999144633492265,0.99590236978470414,8.9238103793260819e-14,1.0000000000000018,0.75,0.989,4.4774948322180828e-07,2.10650616116849e-07,0.48046137729372157,19,results/strategies/20140813-210143-587097-speaker.csv,results/strategies/20140813-210143-587097-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99615391264944686,0.99590236948572841,4.1178926298116868e-13,0.99999999999999956,0.75,0.989,4.5047705536510133e-07,2.1193384120702912e-07,0.4804613761822642,16,results/strategies/20140813-210146-683245-speaker.csv,results/strategies/20140813-210146-683245-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99840594870854926,0.99590236243100283,1.8611868349706806e-13,1.0000000000000024,0.75,0.989,5.1263316278458014e-07,2.4117612833528457e-07,0.48046141148891902,17,results/strategies/20140813-210149-766120-speaker.csv,results/strategies/20140813-210149-766120-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99654387320365667,0.99590237572624196,3.6373275454529565e-13,1.0000000000000007,0.75,0.989,3.9543110498501866e-07,1.8603663653774386e-07,0.48046134667918455,19,results/strategies/20140813-210153-337907-speaker.csv,results/strategies/20140813-210153-337907-hearer.csv
