Number of states,Prior distribution type,Number of messages,Impairment,Tolerance,Dynamics,Speaker entropy,Hearer entropy,Speaker convexity,Hearer convexity,Speaker Voronoiness,Hearer Voronoiness,Expected utility,Iterations,Speaker strategy,Hearer strategy
6,uniform,2,0.05,0.1,replicator dynamics,8.9420055698209331e-05,0.10719165440862133,0.99999999975196274,1.0,1.0,0.9722222222222222,0.99743819914790421,99,"[[1.5774242576029444e-22, 1.0], [1.1952933099005176e-11, 0.999999999988047], [1.651503461615875e-05, 0.9999834849653838], [0.9999857267700968, 1.427322990323917e-05], [0.9999999999996383, 3.617419497754804e-13], [1.0, 2.6590065260260316e-25]]","[[1.5552141769835359e-22, 6.921831191279785e-13, 7.910023693305692e-07, 0.04984109680096459, 0.9102390809738292, 0.03991903122214458], [0.0002563697691719015, 0.9971414410416136, 0.0026021481304187187, 4.105876005762116e-08, 3.5742307155590106e-14, 7.921473324225665e-24]]"
6,uniform,2,0.05,0.1,replicator dynamics,0.00040083625604629323,0.44135405608595968,1.6894421315696189e-09,0.99999999999999989,0.7916666666666666,0.7777777777777778,0.91458643919215921,34,"[[0.9999863017611622, 1.3698238837745029e-05], [4.0527560341517564e-05, 0.9999594724396584], [0.9999563104308893, 4.36895691107098e-05], [1.25390061959263e-05, 0.9999874609938041], [2.167541876891547e-05, 0.999978324581231], [0.9999870447064959, 1.2955293504066907e-05]]","[[0.10737147423069346, 5.5468570289976724e-06, 0.2176043239781949, 3.4678982024123173e-06, 1.0757434266161475e-05, 0.6750044296016141], [1.4068844224349443e-06, 0.08828114290519733, 1.3977925454643544e-05, 0.7367131851262094, 0.1749875094125292, 2.7777461869888548e-06]]"
6,uniform,2,0.05,0.1,replicator dynamics,0.00043512842200249383,0.093652998188384531,1.4751680533075395e-05,1.0,0.9166666666666666,0.9166666666666666,0.96990880083888253,53,"[[1.475178159508621e-05, 0.999985248218405], [0.9999845688450408, 1.543115495916726e-05], [0.9999917944212315, 8.205578768402172e-06], [0.00013524808895373043, 0.9998647519110462], [8.843691623084106e-10, 0.9999999991156309], [2.190922750083548e-19, 1.0]]","[[4.2954589690462865e-09, 0.0002864493513384952, 0.9996976741787228, 1.5872160560189845e-05, 1.3919504519194473e-11, 4.573956822239974e-21], [0.0151702632271645, 2.417644844932538e-07, 2.7107702269564816e-07, 0.01709017371061371, 0.9273052440966408, 0.04043380612407375]]"
6,uniform,2,0.05,0.1,replicator dynamics,0.001852918911975112,0.52413463572197239,1.7859013330926132e-10,1.0,0.7916666666666666,0.8055555555555556,0.94463354484138673,6,"[[7.106736849802268e-09, 0.9999999928932631], [0.0006012405863577195, 0.9993987594136422], [0.9999874570398088, 1.254296019110638e-05], [0.9999861518658437, 1.3848134156358072e-05], [0.0002499203110961658, 0.9997500796889038], [3.0752248854467088e-09, 0.999999996924775]]","[[7.5020374139301e-12, 6.398689669303209e-06, 0.3945703814260528, 0.6054119318115118, 1.1288031773602781e-05, 3.3490552114000036e-11], [0.14736326575973557, 0.10027764050015273, 1.6831939880285256e-06, 4.023850884485977e-06, 0.2528917149476728, 0.49946167174756645]]"
6,uniform,2,0.05,0.1,replicator dynamics,0.00038432078925011926,0.28315531564301455,9.312933958216814e-05,1.0,0.875,0.7777777777777778,0.94231496824383865,75,"[[0.9999900230909005, 9.976909099538967e-06], [9.313105985214318e-05, 0.9999068689401478], [0.9999899610387124, 1.0038961287622627e-05], [0.9999856708985602, 1.4329101439851371e-05], [1.814501005854204e-05, 0.9999818549899415], [2.738642698251755e-11, 0.9999999999726136]]","[[0.0763425142417037, 1.3162495182399988e-06, 0.0007892324809298204, 0.9228522866320646, 1.4650382959681535e-05, 1.2823941708730531e-11], [1.465100499878091e-07, 0.009193442718260293, 1.465195639055413e-07, 7.559586574881784e-06, 0.47619365852476125, 0.5146050461407896]]"
6,uniform,2,0.05,0.1,replicator dynamics,0.00018177327501077011,0.34085375389593792,0.99999999912398685,0.99999999999999989,0.9166666666666666,0.9444444444444444,0.96976129536726063,76,"[[1.0, 1.4918805631424728e-33], [1.0, 1.5999154645910484e-19], [0.9999999996759582, 3.2404186117724574e-10], [0.9999403859236485, 5.961407635149831e-05], [9.24874060362039e-06, 0.9999907512593964], [6.354636480545576e-13, 0.9999999999993645]]","[[0.028158242641176966, 0.5248065342595454, 0.38175011764819866, 0.06528406916444472, 1.0362857273607703e-06, 9.068736835324585e-13], [5.535567685403758e-35, 3.417390625080881e-21, 1.3021945460019265e-11, 1.4866748258245256e-05, 0.9364440229778733, 0.06354111026084645]]"
6,uniform,2,0.05,0.1,replicator dynamics,0.00044210881166548849,0.092684247134138809,1.3951256365984022e-05,1.0,0.8333333333333334,0.8055555555555556,0.96999911003798167,107,"[[0.9999860485009262, 1.3951499073875736e-05], [1.7394517034245943e-05, 0.9999826054829658], [9.117729730216849e-10, 0.999999999088227], [0.00013716110904374925, 0.9998628388909562], [0.9999918546879351, 8.145312064893867e-06], [0.9999999999999416, 5.836110888714703e-14]]","[[0.07527410963832183, 1.1996051283590601e-06, 1.3980254892884046e-11, 1.4669284158989602e-05, 0.9239336779060447, 0.0007763435523658362], [4.509743663138745e-08, 0.0028564510906087487, 0.9906807866110215, 0.0064626148560791505, 1.0234476452147442e-07, 8.937560716435554e-14]]"
6,uniform,2,0.05,0.1,replicator dynamics,0.0011093780395955827,0.39365153979956002,0.00047464363602481671,1.0,0.875,0.7638888888888888,0.94382022316144121,15,"[[2.6824981055841006e-11, 0.999999999973175], [1.8080787188387076e-05, 0.9999819192128115], [0.9999856686017424, 1.4331398257551163e-05], [0.9999997853491076, 2.1465089241627242e-07], [0.9999909994640567, 9.00053594325358e-06], [0.0004746480101277449, 0.9995253519898722]]","[[8.83764761796416e-12, 1.0096177580275517e-05, 0.6359745652271332, 7.999350590931393e-05, 0.3639295649508291, 5.780129710400909e-06], [0.6489547514422404, 0.31959454291938894, 5.073680736088681e-06, 5.4113697068507986e-11, 5.012293242501699e-07, 0.03144513067419665]]"
6,uniform,2,0.05,0.1,replicator dynamics,0.0001632071585840531,0.23781679039437167,0.99999999924026228,1.0,0.9583333333333334,0.9166666666666666,0.94217829886597071,33,"[[6.841049278055428e-48, 1.0], [2.3086646430137944e-33, 1.0], [7.772615059121382e-20, 1.0], [2.6673396652481337e-10, 0.9999999997332659], [5.131109101146965e-05, 0.9999486889089886], [0.9999903916023002, 9.608397699820689e-06]]","[[1.5870196399298484e-49, 6.094991018190955e-35, 4.0172900865122836e-21, 1.482167759464986e-11, 1.593680814070527e-05, 0.9999840631770376], [0.03201765135438813, 0.05567768129691995, 0.08590775161652481, 0.7673922257189333, 0.059003753523723584, 9.364895102773016e-07]]"
6,uniform,2,0.05,0.1,replicator dynamics,9.0537970720434743e-05,0.099090680948899432,0.99999999974112408,1.0000000000000002,1.0,0.9722222222222222,0.99753619618356693,78,"[[3.3287067238369787e-22, 1.0], [1.6946804836885597e-11, 0.9999999999830531], [1.715295415739293e-05, 0.9999828470458426], [0.9999859384189422, 1.4061581057755013e-05], [0.9999999999992684, 7.315763485780629e-13], [1.0, 1.4106061167180937e-24]]","[[2.2914693779865658e-22, 1.0172669300637885e-12, 1.1623928262485994e-06, 0.07323587712517504, 0.9265520722042795, 0.00021088827670208554], [0.008654537002307498, 0.9843869083051827, 0.006958444474113053, 1.1021830066368228e-07, 9.627733095956834e-14, 2.1389906328601255e-23]]"
