Number of states,Prior distribution type,Number of messages,Impairment,Tolerance,Dynamics,Speaker entropy,Hearer entropy,Speaker convexity,Hearer convexity,Expected utility,Iterations,Speaker strategy,Hearer strategy
6,uniform,2,0.05,0.35,replicator dynamics,0.00016819357849213819,0.039927582459439746,0.99999999865115485,1.0000000000000002,0.99799750633209039,32,"[[0.9999999999999996, 4.359692466273155e-16], [0.9999999997798895, 2.2011048915773036e-10], [0.9999679505128002, 3.2049487199859026e-05], [2.936254658988391e-05, 0.9999706374534102], [1.8769220032095373e-10, 0.9999999998123078], [3.3682034391278047e-16, 0.9999999999999997]]","[[0.019323663554870862, 0.9799404894198329, 0.0007358202233405303, 2.6801635085391473e-08, 3.2067616792846613e-13, 1.3088218327478943e-18], [8.87941247317667e-18, 2.163322115694588e-12, 1.78644011271398e-07, 0.004748968216898396, 0.9937101457238663, 0.0015407074130608478]]"
6,uniform,2,0.05,0.35,replicator dynamics,0.0099016313464644779,0.34867521791989953,0.99998805265784918,0.99999999999999989,0.92222495569848095,19,"[[1.2712826666911444e-15, 0.9999999999999988], [1.9056773388334876e-10, 0.9999999998094323], [9.490565352344516e-06, 0.9999905094346476], [0.0061561806394628315, 0.9938438193605371], [0.9995927329705774, 0.0004072670294226181], [0.9999999921942827, 7.805717254141254e-09]]","[[4.867731902536737e-18, 1.0961359930856774e-12, 8.217151846999372e-08, 0.0019392750733503536, 0.6719003672683519, 0.3261602754856831], [0.003734857639684498, 0.22453248695202355, 0.7630914882153735, 0.00839303615454116, 0.0002481244938834234, 6.5444937422428234e-09]]"
6,uniform,2,0.05,0.35,replicator dynamics,0.021637315528667822,0.22570775999682097,0.99999936337048012,0.99999999999999989,0.92233793377143314,24,"[[0.9999999998847272, 1.1527278049858758e-10], [0.9999813839184143, 1.8616081585605695e-05], [0.01790275556863591, 0.982097244431364], [3.08760815251566e-07, 0.9999996912391848], [1.9449236987289694e-12, 0.999999999998055], [1.7818352911536904e-17, 1.0]]","[[0.2059973890820974, 0.7933765246961993, 0.0006260692382464507, 1.6983320342474595e-08, 1.364893829493895e-13, 3.066744040625807e-19], [6.6224522574949575e-12, 4.981011315945388e-07, 0.01214047841152427, 0.926693211000254, 0.06115516572649166, 1.064675397596811e-05]]"
6,uniform,2,0.05,0.35,replicator dynamics,0.022133450717009017,0.34519677215769701,0.99999937603141675,1.0000000000000002,0.92240962533088988,20,"[[2.5049386041428245e-18, 1.0], [1.4258950339806476e-12, 0.999999999998574], [2.894952174649282e-07, 0.9999997105047825], [0.018420419983067628, 0.9815795800169324], [0.9999815584420197, 1.84415579801549e-05], [0.9999999998966779, 1.0332209459796574e-10]]","[[3.5986728200839924e-19, 1.65683061208888e-13, 2.0882165017773664e-08, 0.0007678435825867003, 0.5195169465344911, 0.4797151890005915], [0.004715778321283911, 0.1847153027513609, 0.8053679613480859, 0.005199962595135715, 9.949613476580716e-07, 2.2786175861459793e-11]]"
6,uniform,2,0.05,0.35,replicator dynamics,0.00017114203159257499,0.038413907851263432,0.99999999859809185,0.99999999999999989,0.99811643117210658,38,"[[5.023148947166868e-16, 0.9999999999999996], [2.373452223110015e-10, 0.9999999997626547], [3.3181462333488835e-05, 0.9999668185376666], [0.9999705830462942, 2.9416953705792905e-05], [0.999999999811522, 1.884781202870684e-10], [0.9999999999999997, 3.395590009679706e-16]]","[[1.5235464505594372e-17, 3.707474657575168e-12, 3.057156218235207e-07, 0.008103083170391547, 0.9905489944165339, 0.0013476166937452967], [0.015128741439190732, 0.9846715397358378, 0.00019971241712085178, 6.407778852243473e-09, 7.175805894727614e-14, 2.7801802310870773e-19]]"
6,uniform,2,0.05,0.35,replicator dynamics,0.00016829269689307678,0.043226521841943817,0.99999999864866462,0.99999999999999989,0.99784626525901332,26,"[[0.9999999999999996, 4.280497227947834e-16], [0.9999999997825868, 2.1741322497648672e-10], [0.9999681866604053, 3.1813339594589376e-05], [2.9636417653176226e-05, 0.9999703635823468], [1.9110041445373556e-10, 0.9999999998088995], [3.481243079215088e-16, 0.9999999999999997]]","[[0.019364445013801627, 0.9757803991586885, 0.004854826641796509, 3.291797191589204e-07, 5.994075093100489e-12, 3.612760654641501e-17], [7.275985177962104e-18, 1.6686842674378328e-12, 1.3173739696960628e-07, 0.0033652984305516708, 0.9958761017255346, 0.0007584681048480328]]"
6,uniform,2,0.05,0.35,replicator dynamics,0.00018802581156665722,0.038547786368827289,0.99999999828999431,1.0000000000000002,0.99778762394427667,46,"[[3.492745849017477e-16, 0.9999999999999997], [1.9024270831512192e-10, 0.9999999998097573], [2.9453112167995176e-05, 0.999970546887832], [0.9999599829937785, 4.001700622145069e-05], [0.9999999996588445, 3.4115553092368057e-10], [0.9999999999999991, 9.12367165689427e-16]]","[[8.427213586761263e-20, 2.459093533582582e-14, 2.5240878802853527e-09, 9.741392053623751e-05, 0.9986776633564481, 0.0012249201989031273], [0.00011254726003414628, 0.9722143670359992, 0.027672039730165184, 1.0459611140938184e-06, 1.2687384926803295e-11, 5.2110247639323044e-17]]"
6,uniform,2,0.05,0.35,replicator dynamics,0.00016996723835981746,0.037966972155648836,0.99999999861773536,1.0000000000000002,0.997853354895892,40,"[[4.710556577189616e-16, 0.9999999999999996], [2.2765491468928298e-10, 0.9999999997723451], [3.2520418105060583e-05, 0.999967479581895], [0.9999703971911877, 2.9602808812362614e-05], [0.9999999998080735, 1.919264970884818e-10], [0.9999999999999997, 3.5417178408033794e-16]]","[[4.999891603827033e-17, 1.2189057437780507e-11, 1.0058136940164967e-06, 0.026632524209368846, 0.97304948120295, 0.0003169887617980921], [0.0001294490181560348, 0.9987023626378563, 0.0011681453413168864, 4.300215552387427e-08, 5.152964520199847e-13, 2.0973837155665527e-18]]"
6,uniform,2,0.05,0.35,replicator dynamics,0.00017587295439260524,0.042172548884213901,0.99999999851293864,0.99999999999999967,0.99788057439520994,45,"[[3.41121065826142e-16, 0.9999999999999997], [1.8834930997424281e-10, 0.9999999998116507], [2.935970747215767e-05, 0.9999706402925278], [0.9999648473814493, 3.5152618550756315e-05], [0.9999999997333445, 2.6665547156504027e-10], [0.9999999999999994, 6.144075850765346e-16]]","[[1.6786174961283233e-18, 4.1318057658053545e-13, 3.4573156797631396e-08, 0.0009448160983308459, 0.986358565175969, 0.012696584152130113], [0.0001524390623756437, 0.9857535967787224, 0.01409343246101702, 5.316914445720366e-07, 6.4402499721343545e-12, 2.6408202283090196e-17]]"
6,uniform,2,0.05,0.35,replicator dynamics,0.00017709391271214753,0.040823912799239179,0.99999999848748733,1.0,0.9980561676463795,27,"[[0.9999999999999994, 6.27064412958175e-16], [0.999999999732321, 2.6767901409852555e-10], [0.9999649423718616, 3.505762813834773e-05], [2.994017498108701e-05, 0.9999700598250189], [1.9521638427262927e-10, 0.9999999998047836], [3.6192514201617187e-16, 0.9999999999999997]]","[[0.004232841317596857, 0.9925939082380668, 0.0031731183473698143, 1.320951891468319e-07, 1.7773237374261776e-12, 8.321063357672211e-18], [4.4942075304901204e-17, 9.396859729085048e-12, 6.836936834353774e-07, 0.015961733225753102, 0.9818352491961341, 0.0022023338750324344]]"
